time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-30 00:00:00+00:00,1,1,,
2023-10-01 00:00:00+00:00,9,2,,
2023-10-02 00:00:00+00:00,2,2,12.0,1.0
2023-10-03 00:00:00+00:00,9,2,12.0,2.0
2023-10-04 00:00:00+00:00,9,2,,
2023-10-05 00:00:00+00:00,11,3,,
2023-10-06 00:00:00+00:00,3,3,,
2023-10-07 00:00:00+00:00,16,3,,
2023-10-08 00:00:00+00:00,25,2,9.0,1.0
2023-10-09 00:00:00+00:00,52,13,50.0,2.0
2023-10-10 00:00:00+00:00,58,12,153.0,4.0
2023-10-11 00:00:00+00:00,2,2,23.0,4.0
2023-10-12 00:00:00+00:00,13,9,23.0,2.0
2023-10-13 00:00:00+00:00,5,4,9.0,2.0
