time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-30 00:00:00+00:00,6,6,,
2025-12-01 00:00:00+00:00,61,18,,
2025-12-02 00:00:00+00:00,45,11,,
2025-12-03 00:00:00+00:00,127,30,4.0,3.0
2025-12-04 00:00:00+00:00,12,6,2.0,2.0
2025-12-05 00:00:00+00:00,15,11,,
2025-12-06 00:00:00+00:00,6,6,,
2025-12-07 00:00:00+00:00,10,6,,
2025-12-08 00:00:00+00:00,5,5,,
2025-12-09 00:00:00+00:00,4,4,,
2025-12-10 00:00:00+00:00,4,4,,
2025-12-11 00:00:00+00:00,11,5,1.0,1.0
2025-12-12 00:00:00+00:00,19,7,,
2025-12-13 00:00:00+00:00,1,1,,
