time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,35,26,0,0
2026-06-04 00:00:00+00:00,11,5,0,0
2026-06-05 00:00:00+00:00,31,19,3,3
2026-06-06 00:00:00+00:00,10,5,0,0
2026-06-07 00:00:00+00:00,25,12,1,1
2026-06-08 00:00:00+00:00,19,10,0,0
2026-06-09 00:00:00+00:00,15,6,0,0
2026-06-10 00:00:00+00:00,20,9,2,2
2026-06-11 00:00:00+00:00,26,11,0,0
2026-06-12 00:00:00+00:00,43,18,0,0
2026-06-13 00:00:00+00:00,19,7,7,7
2026-06-14 00:00:00+00:00,30,8,0,0
2026-06-15 00:00:00+00:00,28,10,0,0
2026-06-16 00:00:00+00:00,200,13,0,0
