time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-07 00:00:00+00:00,2,2,19.0,4.0
2025-10-08 00:00:00+00:00,22,7,10.0,1.0
2025-10-09 00:00:00+00:00,21,3,,
2025-10-10 00:00:00+00:00,22,6,,
2025-10-11 00:00:00+00:00,43,12,3.0,1.0
2025-10-12 00:00:00+00:00,4,4,,
2025-10-13 00:00:00+00:00,23,4,,
2025-10-14 00:00:00+00:00,44,9,2.0,1.0
2025-10-15 00:00:00+00:00,11,4,1.0,1.0
2025-10-16 00:00:00+00:00,15,4,11.0,1.0
2025-10-17 00:00:00+00:00,4,4,,
2025-10-18 00:00:00+00:00,23,6,1.0,1.0
2025-10-19 00:00:00+00:00,20,4,,
2025-10-20 00:00:00+00:00,15,5,,
