time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,10,4,0,0
2026-03-27 00:00:00+00:00,19,10,0,0
2026-03-28 00:00:00+00:00,24,9,3,1
2026-03-29 00:00:00+00:00,15,11,0,0
2026-03-30 00:00:00+00:00,12,8,0,0
2026-03-31 00:00:00+00:00,10,6,0,0
2026-04-01 00:00:00+00:00,11,7,0,0
2026-04-02 00:00:00+00:00,14,8,0,0
2026-04-03 00:00:00+00:00,29,17,0,0
2026-04-04 00:00:00+00:00,15,7,0,0
2026-04-05 00:00:00+00:00,14,6,0,0
2026-04-06 00:00:00+00:00,15,7,0,0
2026-04-07 00:00:00+00:00,17,9,1,1
2026-04-08 00:00:00+00:00,11,6,0,0
