time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-30 00:00:00+00:00,5,5,,
2025-10-01 00:00:00+00:00,7,7,,
2025-10-02 00:00:00+00:00,27,8,,
2025-10-03 00:00:00+00:00,18,9,,
2025-10-04 00:00:00+00:00,31,7,11.0,1.0
2025-10-05 00:00:00+00:00,50,11,,
2025-10-06 00:00:00+00:00,39,12,,
2025-10-07 00:00:00+00:00,2,2,19.0,4.0
2025-10-08 00:00:00+00:00,22,7,10.0,1.0
2025-10-09 00:00:00+00:00,21,3,,
2025-10-10 00:00:00+00:00,22,6,,
2025-10-11 00:00:00+00:00,43,12,3.0,1.0
2025-10-12 00:00:00+00:00,4,4,,
2025-10-13 00:00:00+00:00,14,3,,
