time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-14 00:00:00+00:00,35,15,1,1
2026-02-15 00:00:00+00:00,23,10,0,0
2026-02-16 00:00:00+00:00,30,11,0,0
2026-02-17 00:00:00+00:00,17,9,3,1
2026-02-18 00:00:00+00:00,139,35,39,1
2026-02-19 00:00:00+00:00,30,12,0,0
2026-02-20 00:00:00+00:00,15,11,4,2
2026-02-21 00:00:00+00:00,169,51,51,2
2026-02-22 00:00:00+00:00,8,8,2,1
2026-02-23 00:00:00+00:00,33,13,0,0
2026-02-24 00:00:00+00:00,10,6,1,1
2026-02-25 00:00:00+00:00,4,4,0,0
2026-02-26 00:00:00+00:00,13,11,0,0
2026-02-27 00:00:00+00:00,11,9,4,1
